"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"225","CR250237",0.73,0.77,5.13,47898053374.4299,517284252.440118
"226","CR250237",0.73,0.77,5.13,8897202843.17605,2996818.86526897
"227","CR250237",120.58,28.94,167.16,7076299902.76571,1.59544232513408
"228","CR250237",0,0,0,1107339646.40207,18.0782625759645
"229","CR250237",1.03,4.74,9.4,38709766590.8987,1219781859.73286
"230","CR250237",37.74,10.58,55.41,11213427796.265,2.47074342309497
"231","CR250237",1.03,4.74,9.4,5133580946.8382,19.5601275041379
"232","CR250237",1.04,10.15,12.77,10276555269.6776,13244954.3562347
"233","CR250238",98.7,23.69,136.17,1508142488.00348,10389577.9299802
"234","CR250238",120.58,28.94,167.16,7036463465.53076,87917481.0410481
"235","CR250238",0.73,0.77,5.13,300672690.150814,2247126.16057523
"236","CR250238",0.73,0.77,5.13,47898053374.4299,2333186501.86357
"237","CR250238",0.73,0.77,5.13,8897202843.17605,102635924.108382
"238","CR250238",120.58,28.94,167.16,7076299902.76571,25.3141791298136
"239","CR250238",1.03,4.74,9.4,38709766590.8987,169094962.386212
"240","CR250238",1.03,4.74,9.4,5133580946.8382,815637.903755564
"241","CR250238",1.04,10.15,12.77,10276555269.6776,31.5478675753723
"242","CR250239",98.7,23.69,136.17,1508142488.00348,14928662.2175728
"243","CR250239",120.58,28.94,167.16,7036463465.53076,79781412.8835087
"244","CR250239",0.73,0.77,5.13,300672690.150814,297648.012622402
"245","CR250239",0.73,0.77,5.13,47898053374.4299,2296102619.88867
"246","CR250239",0.73,0.77,5.13,8897202843.17605,98856908.9527537
"247","CR250239",120.58,28.94,167.16,7076299902.76571,3.08784546423703
"248","CR250239",1.03,4.74,9.4,38709766590.8987,376858.760660381
"249","CR250240",98.7,23.69,136.17,78125595.3831807,823876.85092067
"250","CR250240",120.58,28.94,167.16,145448273.911623,6424695.21085061
"251","CR250240",1.03,4.74,9.4,95776736.0845105,1378717.79362162
"252","CR250240",98.7,23.69,136.17,1508142488.00348,23162446.7482959
"253","CR250240",120.58,28.94,167.16,7036463465.53076,241042820.734489
"254","CR250240",0.73,0.77,5.13,300672690.150814,12668341.0414192
"255","CR250240",1.04,10.15,12.77,11047968253.7415,57618.0414926086
"256","CR250240",0.73,0.77,5.13,47898053374.4299,2072041136.79761
"257","CR250240",0.73,0.77,5.13,43692704.2308405,166543.166389819
"258","CR250240",85.73,20.17,112.98,6508378.17555545,7.3301121275872
