"CR245192","Brazil",694.07
"CR245193","Brazil",705.86
"CR245194","Brazil",691.02
"CR245195","Brazil",655.08
"CR245196","Brazil",532.41
"CR245197","Brazil",528.56
"CR245198","Brazil",513.35
"CR245199","Brazil",479.6
"CR245200","Brazil",486.12
"CR245201","Brazil",470.76
"CR245202","Brazil",365.15
"CR245203","Brazil",274.16
"CR245204","Brazil",319.1
"CR245205","Brazil",325.75
"CR245206","Brazil",304.96
"CR245207","Brazil",196.7
"CR245208","Brazil",131.93
"CR245209","Brazil",236.28
"CR245210","Brazil",322.45
"CR245211","Brazil",281.9
"CR245212","Brazil",238.06
"CR245213","Brazil",222.99
"CR245214","Brazil",255.51
"CR245215","Brazil",145.51
"CR245216","Brazil",431.04
"CR245217","Brazil",248.28
"CR245218","Brazil",178.54
"CR245219","Brazil",244.48
"CR245220","Brazil",98.62
"CR245221","Brazil",91.84
"CR245222","Brazil",171.35
"CR245223","Brazil",273.03
"CR245224","Brazil",207.01
"CR245225","Brazil",204.55
"CR245241","Brazil",70.29
"CR246177","Brazil",841.3
"CR246178","Brazil",808.99
"CR246179","Brazil",795.77
"CR246180","Brazil",780.96
"CR246181","Brazil",776.93
"CR246182","Brazil",709.83
"CR246183","Brazil",669.89
"CR246184","Brazil",651.33
"CR246185","Brazil",545.49
"CR246186","Brazil",236.87
"CR246187","Brazil",534.14
"CR246188","Brazil",609.62
"CR246189","Brazil",670.65
"CR246190","Brazil",689.98
"CR246191","Brazil",694.6
"CR246192","Brazil",647.03
"CR246193","Brazil",724.17
"CR246194","Brazil",740.69
"CR246195","Brazil",662.75
"CR246196","Brazil",682.84
"CR246197","Brazil",515.38
"CR246198","Brazil",497.2
"CR246199","Brazil",449.06
"CR246200","Brazil",489.58
"CR246201","Brazil",438.52
"CR246202","Brazil",346.11
"CR246203","Brazil",249.55
"CR246204","Brazil",324.22
"CR246205","Brazil",377.44
"CR246206","Brazil",328.67
